"RevisionKey","Repo","Abbreviation","WorkshopId","CatalogueArchiveId","CatalogueUrl","SkymodsTitle","NewestOrdinal","IsCurrentRevision","RawDisplayedTime","NormalizedUtcTime","TimeParsed","DownloadUrl","PageReferenceYear","RawPageSha256","ContentVerified"
"2220098919|44","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","44","False","22 Feb, 2022 at 17:42 UTC","2022-02-22 17:42","True","https://modsbase.com/c70rh0sil5cv/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|45","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","45","False","19 Feb, 2022 at 15:35 UTC","2022-02-19 15:35","True","https://modsbase.com/qa7hrswbryh2/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|46","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","46","False","13 Feb, 2022 at 09:16 UTC","2022-02-13 09:16","True","https://modsbase.com/ol6bncyd7ip1/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|47","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","47","False","10 Feb, 2022 at 10:57 UTC","2022-02-10 10:57","True","https://modsbase.com/03285vsm1ir7/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|48","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","48","False","25 Dec, 2021 at 22:32 UTC","2021-12-25 22:32","True","https://modsbase.com/5h2w227fkshr/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|49","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","49","False","11 Oct, 2021 at 11:51 UTC","2021-10-11 11:51","True","https://modsbase.com/r7qaa4o895ht/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|50","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","50","False","14 Aug, 2021 at 14:41 UTC","2021-08-14 14:41","True","https://modsbase.com/63qn0xrr3fpl/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|51","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","51","False","6 Aug, 2021 at 14:51 UTC","2021-08-06 14:51","True","https://modsbase.com/g6g7yrcdh6ed/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|52","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","52","False","6 Jul, 2021 at 18:30 UTC","2021-07-06 18:30","True","https://modsbase.com/n3l0inwtbjlw/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|53","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","53","False","30 Jun, 2021 at 17:18 UTC","2021-06-30 17:18","True","https://modsbase.com/ibcumi1usmrk/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
