"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"LocalRepoWorkingTree","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".yml","15","0,676","0,319","12","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".anim","978","507,121","2,277","0","12","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".asset","742","3,963","0,209","12","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".dds","2888","2440,338","5,333","0","12","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".fbx","2","0,564","0,485","0","2","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gui","3","0,272","0,153","3","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".idx","2","0,156","0,096","0","2","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".mesh","1334","589,987","5,577","0","12","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".pack","2","314,369","305,759","0","2","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".png","2","0,669","0,63","0","2","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".rar","3","1,815","1,368","0","3","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".rev","2","0,022","0,014","0","2","0","Binary"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".shader","1","0,031","0,031","1","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".txt","3664","91,725","1,192","12","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".yml","15","0,676","0,319","12","0","0","Text"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632","<no-extension>","18","0,72","0,549","10","2","0","Mixed"
"LocalRepoWorkingTree","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".png","1","0,26","0,26","0","1","0","Binary"
"LocalRepoWorkingTree","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".txt","314","4,659","0,237","12","0","0","Text"
"SteamWorkshopCurrent","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".png","1","0,26","0,26","0","1","0","Binary"
"SteamWorkshopCurrent","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","MBP-EPE-CFP","MBP-EPE-CFP","2543865921",".txt","314","4,659","0,237","12","0","0","Text"
"SteamWorkshopCurrent","MBP-EPE-CFP","MBP-EPE-CFP","2543865921","<no-extension>","408","2,179","0,595","0","12","0","Binary"
"LocalRepoWorkingTree","MedievalImmersion","MI","3268020725",".dds","47","10,928","1,333","0","12","0","Binary"
"LocalRepoWorkingTree","MedievalImmersion","MI","3268020725",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","MedievalImmersion","MI","3268020725",".png","2","2,853","2,43","0","2","0","Binary"
"LocalRepoWorkingTree","MedievalImmersion","MI","3268020725",".txt","251","15,448","2,95","12","0","0","Text"
"LocalRepoWorkingTree","MedievalImmersion","MI","3268020725",".yml","18","2,521","0,99","12","0","0","Text"
"SteamWorkshopCurrent","MedievalImmersion","MI","3268020725",".dds","47","10,928","1,333","0","12","0","Binary"
"SteamWorkshopCurrent","MedievalImmersion","MI","3268020725",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","MedievalImmersion","MI","3268020725",".png","2","2,853","2,43","0","2","0","Binary"
"SteamWorkshopCurrent","MedievalImmersion","MI","3268020725",".txt","251","15,448","2,95","12","0","0","Text"
"SteamWorkshopCurrent","MedievalImmersion","MI","3268020725",".yml","18","2,521","0,99","12","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".csv","2","0,81","0,765","2","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".dds","5120","372,487","4,747","0","12","0","Binary"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".info","3","0,004","0,002","3","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".jpg","1","0,062","0,062","0","1","0","Binary"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".map","1","0,022","0,022","1","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".png","32","5,492","2,964","0","12","0","Binary"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".tga","1","0,095","0,095","0","1","0","Binary"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".txt","451","52,784","3,968","12","0","0","Text"
"LocalRepoWorkingTree","MPE","MPE","3726274827",".yml","57","9,579","1,143","12","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".csv","2","0,81","0,765","2","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".dds","5120","372,487","4,747","0","12","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".idx","1","0,015","0,015","0","1","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".info","3","0,004","0,002","3","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".jpg","1","0,062","0,062","0","1","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".map","1","0,022","0,022","1","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".pack","1","12,307","12,307","0","1","0","Binary"
