"Repo","Abbreviation","WorkshopId","Page","Url","FromCache","FetchedAtUtc","Sha256","RawFile"
"Special-World","SW","2875587269","1","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=1&l=english","True","2026-08-15T18:36:34.3444570Z","64f8c1888cb038fd96069a1996adc367f7b545a2fc922332144feedd3dc41553","raw-pages/2875587269/page-001.html"
"Special-World","SW","2875587269","2","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=2&l=english","True","2026-08-15T18:36:40.9038452Z","9dc10c5a289385417d858f7283b70b3fb92794d4d7567e14598b4de52588fc2b","raw-pages/2875587269/page-002.html"
"Special-World","SW","2875587269","3","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=3&l=english","True","2026-08-15T18:36:45.7858437Z","27646752f4e4e1487baae90bd17eca5095ca272aac564cc2a0078509d97ff1c1","raw-pages/2875587269/page-003.html"
"Special-World","SW","2875587269","4","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=4&l=english","True","2026-08-15T18:36:52.0624806Z","1494ea8fc6d07f1e8eca36f6d8e2590d12e5d7e0e1c29e2f02dad20c6af410f2","raw-pages/2875587269/page-004.html"
"Special-World","SW","2875587269","5","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=5&l=english","True","2026-08-15T18:36:58.3084937Z","684cb6fa2cb454cbbcfa0bcc124b88dab93b93ed00df93ae1e020448526e39e6","raw-pages/2875587269/page-005.html"
"Special-World","SW","2875587269","6","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=6&l=english","True","2026-08-15T18:37:03.8393383Z","1f2b2c8bf79ad7b372188a7629425f74fecc1335ef74bb03b2a6c4e227d64e66","raw-pages/2875587269/page-006.html"
"Special-World","SW","2875587269","7","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=7&l=english","True","2026-08-15T18:37:08.7560538Z","8816527a6bd3e0707347b00cf16d00a1ff149a896f19f5f1c9e0911a00fc0ecb","raw-pages/2875587269/page-007.html"
"Special-World","SW","2875587269","8","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=8&l=english","True","2026-08-15T18:37:14.2842665Z","634560cfd852e7b113e58be902dc55d6a2b253675e0e8cb6207391465db185e8","raw-pages/2875587269/page-008.html"
"Special-World","SW","2875587269","9","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=9&l=english","True","2026-08-15T18:37:19.2123661Z","0f80e202852378f3fc163160628798078017800c1def43d8779fde59af658648","raw-pages/2875587269/page-009.html"
"Special-World","SW","2875587269","10","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=10&l=english","True","2026-08-15T18:37:24.5274768Z","480df87d0d4063e7ca8b7db0754b3c25e5d56df1c6748539ce2adf2b38bb3454","raw-pages/2875587269/page-010.html"
"Special-World","SW","2875587269","11","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=11&l=english","True","2026-08-15T18:37:30.2573689Z","0c44ad838ebe28e0eeb6c13a74a127b3930855d1905489df365642bd4d54d7fd","raw-pages/2875587269/page-011.html"
"Special-World","SW","2875587269","12","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=12&l=english","True","2026-08-15T18:37:35.1383332Z","5e280446d9629f0cda22a3c1990aec0711f9300cef0283765980fd3a1efe5c19","raw-pages/2875587269/page-012.html"
"Special-World","SW","2875587269","13","https://steamcommunity.com/sharedfiles/filedetails/changelog/2875587269?p=13&l=english","True","2026-08-15T18:37:40.7128893Z","937944edbb926bcdeea1a8a9ef089aeddb9cdd8ccc2b25412c0b5737add9eed3","raw-pages/2875587269/page-013.html"
