"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsIsCurrentRevision","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","Category","VerificationPriority","FirstPassRecommended","RelatedSteamEventCount","RelatedSteamEventKeys","RelatedGitCommitCount","RelatedGitCommitShas","Reason","ContentDownloaded","ContentVerified"
"Special-World","SW","2875587269","2875587269|2","2","False","22 Jul at 01:16 UTC","2026-07-22 01:16","https://modsbase.com/egjv5xsuroc9/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|6","2","0c51d727a0c8d83f8ebdb48f8b73c43737e1dbca|f6452b9e2fdf635070305178f98828371a150190","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|3","3","False","10 Jul at 19:12 UTC","2026-07-10 19:12","https://modsbase.com/io1o3wevn7v4/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|16","3","a8ada073cbf32d42c4f9928040d8183309e83563|83032b87bb5b0f3ab378fb348fa4610f3ed71110|f4aa884373df976e5da19fff5f1109bfc83b7451","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|5","5","False","7 May at 22:20 UTC","2026-05-07 22:20","https://modsbase.com/j7dbgnz4dpx8/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|22","3","1eeaf8d51248fc7c41d8340a9ce7353020550954|d78a822ab3d7e0eae87367e2a2230fd7ef0b7090|ed7d7be79ddaf725d79dff90abf05eba19e7c2e7","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|6","6","False","3 May at 02:37 UTC","2026-05-03 02:37","https://modsbase.com/l0puk4g8nj8v/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|23","6","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090|ed7d7be79ddaf725d79dff90abf05eba19e7c2e7|5e196a059c4a801d23e4200abc83d05b3838c29a|1eeaf8d51248fc7c41d8340a9ce7353020550954|a8bfe78d253cb661b4d2b7d3bd462be98330f8a4|e73d268fb26b7d31a7d547d39ad95005358d85e9","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|7","7","False","22 Mar at 20:03 UTC","2026-03-22 20:03","https://modsbase.com/jvloum9zfyqw/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|30","3","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811|079d5a19aae0272124debd3075f1be8c94c2a127|7a988841a4ba8a4aaf107e9a743a9127443de517","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|8","8","False","20 Mar at 21:07 UTC","2026-03-20 21:07","https://modsbase.com/ybm2xn431zs0/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|31","4","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811|079d5a19aae0272124debd3075f1be8c94c2a127|7a988841a4ba8a4aaf107e9a743a9127443de517|1a1b6fc88f3549885518ead116df2f6f0cd55b4b","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|9","9","False","14 Mar at 23:20 UTC","2026-03-14 23:20","https://modsbase.com/absneyopuqs5/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|32","4","1a1b6fc88f3549885518ead116df2f6f0cd55b4b|7a988841a4ba8a4aaf107e9a743a9127443de517|fb9749b56200ff16abb9fec81ddcb0fe266eb35b|9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|10","10","False","1 Mar at 15:42 UTC","2026-03-01 15:42","https://modsbase.com/xvf8zapknreq/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|36","4","82f9a80b847cebb359e9b8797be9b85058fc99e7|35b31d96b564aa28b6abc3079864e8cb73caa66d|fb9749b56200ff16abb9fec81ddcb0fe266eb35b|be266d10ef71a8ae6d1b26920fcb063039aa7d5c","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|11","11","False","22 Feb at 06:54 UTC","2026-02-22 06:54","https://modsbase.com/xjp1l0x5x93l/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|38","4","be266d10ef71a8ae6d1b26920fcb063039aa7d5c|9ee299267667b7f65add26844e8520da320efdae|35b31d96b564aa28b6abc3079864e8cb73caa66d|0d6593821735eed75eeea01feaa347e3323e81f6","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"Special-World","SW","2875587269","2875587269|12","12","False","3 Feb at 15:40 UTC","2026-02-03 15:40","https://modsbase.com/k8js6flm8l91/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2875587269|43","2","04978e0c73beff81e806fb0433ea3ad95cf3a589|fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top","False","False"
