"EventKey","Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationStatus","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","DescriptorWorkshopIdMatches","DescriptorCountInArchive","DescriptorRemoteFileId","AlignmentFound","DominantTemporalAlignment","BidirectionalUniqueAlignment","TemporalPairStatus","ObservedOffsetHours","ArchiveSha256","DuplicateArchiveCount","DuplicateArchiveRevisionKeys","DescriptorOnlyNearMatchCount","DescriptorOnlyNearMatchGitShas","Analysis07Reason"
"2875587269|32","Special-World","SW","2875587269","2875587269|9","UNIQUE_PROJECTED_GIT_MATCH","4","1","7a988841a4ba8a4aaf107e9a743a9127443de517","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","f4dfddfcf5ca94581656ac871e8946896f94df11a5033cab1696e25ff4c7eeeb","1","2875587269|9","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|36","Special-World","SW","2875587269","2875587269|10","UNIQUE_PROJECTED_GIT_MATCH","4","1","82f9a80b847cebb359e9b8797be9b85058fc99e7","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","d00b6e598a53cfd5b47d1ce55ba014520ca21de43e08ae7397794dbfa309fe95","1","2875587269|10","0","","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|38","Special-World","SW","2875587269","2875587269|11","UNIQUE_PROJECTED_GIT_MATCH","4","1","be266d10ef71a8ae6d1b26920fcb063039aa7d5c","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","85a9d579355a7234916ac696b6b6766d99dfe39488ff6e78458ec208e9863c80","1","2875587269|11","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|43","Special-World","SW","2875587269","2875587269|12","NO_PROJECTED_GIT_MATCH","2","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","586b6b744d2416fe71c5e4586d9fb3c11c568a661cb5cd45e23a1176a4164e8f","1","2875587269|12","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|45","Special-World","SW","2875587269","2875587269|13","UNIQUE_PROJECTED_GIT_MATCH","2","1","fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","a121419fe763692015ace061b160366e1edca4e84b448b7f3fba9b604a210a3f","1","2875587269|13","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|46","Special-World","SW","2875587269","2875587269|14","UNIQUE_PROJECTED_GIT_MATCH","2","1","688be509388ead75fa299018dcdde17ba4c8f5f5","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","b1267838f445d893e55894e1f650ee72ee7d931ae9afe23e6ac7cf73ef33706b","1","2875587269|14","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|47","Special-World","SW","2875587269","2875587269|15","UNIQUE_PROJECTED_GIT_MATCH","2","1","59197499171ff9f910d90d8b03407b7388b43847","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","b4b83cf32a8846fbe3cebe2fdd229d2cc5705ed0eda0fb017ea378153b69de55","1","2875587269|15","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2875587269|48","Special-World","SW","2875587269","2875587269|16","UNIQUE_PROJECTED_GIT_MATCH","3","1","825da8e0f5e4b60f964301e80c5665a8a8426fc2","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","9e17e1032bcf21ae9dd32ef67758cb2bd856c322cc5ff8a0bbb49b8ff3a49044","1","2875587269|16","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|50","Special-World","SW","2875587269","2875587269|17","UNIQUE_PROJECTED_GIT_MATCH","2","1","bd48aaacb89f48226bbaf66fad12ba33907e5c46","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","b2dad3842df34a507835d06a38e6039d8ae0c1e653221e8f52906c8461d90d46","1","2875587269|17","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2875587269|51","Special-World","SW","2875587269","2875587269|18","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","b34795692a2a0527c802f17944ea62906b3327a06ab6ff540a8e7f3169ad0016","1","2875587269|18","0","","git-commit-has-multiple-archive-candidates"
"2875587269|52","Special-World","SW","2875587269","2875587269|19","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","1ba25e0ba9cda9c9cc9ac7ec4f5fa06c9bd5f9466585794456e138d77b71c2cf","1","2875587269|19","0","","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2875587269|58","Special-World","SW","2875587269","2875587269|23","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","17c8f4451519a4313a9385501f617b78bf8c56fb5199d972248aec756f2e83c7","1","2875587269|23","0","","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2875587269|59","Special-World","SW","2875587269","2875587269|24","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","8","e5012975bc443316b79c82b9554063df88219121330a955584ed566cbd0bf171","1","2875587269|24","0","","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2875587269|60","Special-World","SW","2875587269","2875587269|25","UNIQUE_PROJECTED_GIT_MATCH","1","1","8cff9607cb4a5bbf4772156f15f62b5564764df4","True","1","2875587269","True","True","True","BIDIRECTIONAL_UNIQUE","7","905c73f1a29fa981d2eb573d1c1f40c80d393c4d58d74a112cee06ec33ebd8f0","1","2875587269|25","0","","steam-git-event-ambiguity"
