"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","ModsbasePageUrl","DownloadMethod","ArchiveCachePath","ArchiveBytes","ArchiveMiB","ArchiveSha256","ArchiveFileCount","ArchiveRootSelection"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2220098919_3.zip","1039862786","991,69","2fda79b5c4bc80de76c37a7a35ebd266a78546edca0512f53658882a073114ed","3073","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|12","3 Feb at 15:40 UTC","2026-02-03 15:40","https://modsbase.com/k8js6flm8l91/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_12.zip","572035756","545,536","586b6b744d2416fe71c5e4586d9fb3c11c568a661cb5cd45e23a1176a4164e8f","3001","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|13","26 Jan at 22:10 UTC","2026-01-26 22:10","https://modsbase.com/eeihl211ic92/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_13.zip","571824445","545,334","a121419fe763692015ace061b160366e1edca4e84b448b7f3fba9b604a210a3f","2995","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|14","14 Jan at 23:41 UTC","2026-01-14 23:41","https://modsbase.com/yyhbn7p0b5vz/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_14.zip","571841982","545,351","b1267838f445d893e55894e1f650ee72ee7d931ae9afe23e6ac7cf73ef33706b","3032","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|15","12 Jan at 04:30 UTC","2026-01-12 04:30","https://modsbase.com/ttmhphdlczph/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_15.zip","571841882","545,351","b4b83cf32a8846fbe3cebe2fdd229d2cc5705ed0eda0fb017ea378153b69de55","3032","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|16","31 Dec, 2025 at 22:43 UTC","2025-12-31 22:43","https://modsbase.com/yz8ontr6w1fj/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_16.zip","571844678","545,354","9e17e1032bcf21ae9dd32ef67758cb2bd856c322cc5ff8a0bbb49b8ff3a49044","3033","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|17","24 Dec, 2025 at 00:05 UTC","2025-12-24 00:05","https://modsbase.com/q3kk89svgukt/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_17.zip","571844608","545,354","b2dad3842df34a507835d06a38e6039d8ae0c1e653221e8f52906c8461d90d46","3033","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|18","10 Dec, 2025 at 19:31 UTC","2025-12-10 19:31","https://modsbase.com/ur6ci7c34x16/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_18.zip","571378363","544,909","b34795692a2a0527c802f17944ea62906b3327a06ab6ff540a8e7f3169ad0016","3026","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|19","7 Dec, 2025 at 06:01 UTC","2025-12-07 06:01","https://modsbase.com/qb2f75hd4bd7/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_19.zip","571378080","544,909","1ba25e0ba9cda9c9cc9ac7ec4f5fa06c9bd5f9466585794456e138d77b71c2cf","3026","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|23","27 Oct, 2025 at 05:02 UTC","2025-10-27 05:02","https://modsbase.com/n95yvy2y05sz/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_23.zip","558927961","533,035","17c8f4451519a4313a9385501f617b78bf8c56fb5199d972248aec756f2e83c7","2988","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|24","23 Oct, 2025 at 01:58 UTC","2025-10-23 01:58","https://modsbase.com/a7kgtk43c1up/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_24.zip","558921407","533,029","e5012975bc443316b79c82b9554063df88219121330a955584ed566cbd0bf171","2987","EXPECTED_WORKSHOP_ID"
"Special-World","SW","2875587269","2875587269|25","18 Sep, 2025 at 00:13 UTC","2025-09-18 00:13","https://modsbase.com/y64oflz3gv5l/2875587269_A_Special_World_-_Special_Building_Compatch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2875587269_25.zip","600805386","572,973","905c73f1a29fa981d2eb573d1c1f40c80d393c4d58d74a112cee06ec33ebd8f0","3175","EXPECTED_WORKSHOP_ID"
